"target_id","ens_gene","ext_gene","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","b","se_b"
"ENST00000221573.11","ENSG00000104976","SNAPC2",7.39451477439302e-05,0.0373594503863972,15.7071238232804,5.10540064220795,1,6.16460148222505,0.3927447975226,0.00761196541737478,0.417838088099954,0.242899707874429,0.417838088099954,-1.06981711587435,0.255602685946416
"ENST00000225576.7","ENSG00000175106","TVP23C",6.10966043964525e-05,0.0336619535690519,16.0683522401194,5.98193509287335,1,5.37853885938382,0.46202220369821,0.00694923277043066,0.491545358302348,0.255739438401885,0.491545358302348,-1.14128744631363,0.261948294170249
"ENST00000237642.7","ENSG00000118804","STBD1",1.11105536619511e-05,0.0183340012453355,19.3102973420264,6.19767219253709,1,5.84549203824474,0.487712115486403,0.00500464294360097,0.511468039767823,0.246846242955611,0.511468039767823,1.23445277961539,0.256151700145378
"ENST00000246190.11","ENSG00000125967","NECAB3",5.63065546951525e-06,0.0155870620034856,20.6098200140793,6.48781577409419,1,7.11586068810861,0.500381188913025,0.00649275782767518,0.534158556680174,0.225054165052911,0.534158556680174,-1.26503530912102,0.245647515509606
"ENST00000247291.8","ENSG00000126878","AIF1L",1.99314005443711e-06,0.00935947800253046,22.6016437635765,20.3619782218375,1,8.86636456790759,1.57006749669845,0.00107155636451876,1.69575996212194,0.200603810521937,1.69575996212194,-2.18524272694458,0.325244598730698
"ENST00000248437.9","ENSG00000127824","TUBA4A",0.000140165645536947,0.0495717048490475,14.4999179768982,14.9308172774408,1,7.13984356000561,1.15156216709855,0.00201023907135364,1.24222453404871,0.22462662447238,1.24222453404871,-1.68311368035861,0.371966524020387
"ENST00000253083.9","ENSG00000130787","HIP1R",3.9122104433356e-05,0.0307262875321428,16.9135120938818,7.85221326765082,1,7.94097912643422,0.604617208788228,0.000871361302585158,0.653479744334983,0.211874818887331,0.653479744334983,-1.27144608285508,0.247469691096243
"ENST00000254816.6","ENSG00000132481","TRIM47",3.34816274181245e-05,0.0282184007941845,17.209170142728,7.57361030494336,1,7.29313944920449,0.613858689063694,0.00249489810491442,0.628639293973699,0.221958427513956,0.628639293973699,-1.2547662761438,0.241598951157837
"ENST00000255380.8","ENSG00000133019","CHRM3",9.56354272212965e-05,0.0414245333192805,15.2209721453381,34.1338953103573,1,4.92275840119837,2.62624078689963,0.302893236094197,2.54159803976891,0.264144427069207,2.54159803976891,2.57895294469012,0.54811421956601
"ENST00000256413.8","ENSG00000134030","CTIF",0.000106975871622158,0.0438359811795409,15.0094196768528,9.25661236981263,1,7.45976775626104,0.72394263767841,0.00195455117119108,0.769429812979861,0.219183055109325,0.769429812979861,-1.33791188422355,0.28759774063186
"ENST00000256759.8","ENSG00000134363","FST",1.2058996312357e-07,0.00228907313428679,28.0116071698286,56.7295356694045,1,6.16594354532131,4.36464634690796,0.021176958893632,4.70628434689008,0.24288160751599,4.70628434689008,-3.78725391795993,0.447500363752024
"ENST00000258526.9","ENSG00000136040","PLXNC1",6.13067278041975e-05,0.0336619535690519,16.0618509674728,9.18964036562838,1,4.98870493597476,0.709177925449576,0.012145041880013,0.753658321922352,0.26302842508592,0.753658321922352,-1.35737575729372,0.275984654846733
"ENST00000261883.6","ENSG00000138615","CILP",2.23260495039202e-05,0.0249293794443941,17.9798094475125,35.9005679180439,1,5.78794746282992,2.80750880280653,0.0105098473177831,2.98120414585254,0.247604636995125,2.98120414585254,-2.75987405089667,0.509375214381067
"ENST00000264036.6","ENSG00000076706","MCAM",3.02018067649601e-05,0.027405498662516,17.4050777420082,13.6566779818241,1,8.21662383264711,1.05094834917954,0.000563774052619754,1.13749272443272,0.208144912657225,1.13749272443272,-1.68878477710362,0.320681620830291
"ENST00000264426.14","ENSG00000120251","GRIA2",8.00643893179205e-05,0.0388271379379854,15.556770954165,77.2310832918796,1,1.65189618921974,6.11096624617224,1.42449328255031,5.01143032510632,1.5333134966477,5.01143032510632,3.99743006696517,0.909646361087607
"ENST00000265012.5","ENSG00000111846","GCNT2",2.57637254871671e-06,0.0102948635569193,22.1087164134132,19.5754742148591,1,4.25919070071549,1.51704250388427,0.197804525529455,1.43348499237547,0.297550941697436,1.43348499237547,2.1682462732544,0.369074914048568
"ENST00000272395.3","ENSG00000144015","TRIM43",2.43754634424341e-05,0.0264459922160353,17.8126703849036,159.461003949466,1,3.74604110639849,12.2672512414508,0.0574257526820661,13.2309912431068,0.368513086156728,13.2309912431068,5.80345248133679,1.07995786037852
"ENST00000275300.3","ENSG00000146477","SLC22A3",0.000103861085709897,0.0432622119899319,15.0651891013037,35.3724339176651,1,2.88175360271116,2.72221339482463,0.145092879886974,2.80260994658512,0.681657895979739,2.80260994658512,2.61801603100537,0.561082715831327
"ENST00000278386.10","ENSG00000026508","CD44",9.56215907698561e-05,0.0414245333192805,15.2212453949636,67.1423644122262,1,1.87706914281998,5.94567889035193,0.48390203007235,5.11129500427983,1.33987851745148,5.11129500427983,-3.6170200261268,0.768727150485573
"ENST00000284031.13","ENSG00000153904","DDAH1",6.39555552917856e-06,0.0162908153711358,20.3660157237474,6.07208005690419,1,8.12363503516447,0.474372527950792,0.000369359685469893,0.505637311723213,0.209366956126354,0.505637311723213,1.21114157605845,0.23345171070496
"ENST00000288943.5","ENSG00000158050","DUSP2",1.00472054152663e-05,0.0181889729483612,19.502424948352,9.74171077616149,1,6.14414217792489,0.749791563937197,0.00265840985607845,0.809150821490712,0.243172120041176,0.809150821490712,-1.46600627498317,0.252900652635408
